Timestamp,Year,Branch,CGPA,Core Skills [Communication],Core Skills [Aptitude],Core Skills [Problem Solving],Core Skills [Teamwork],Core Skills [Adaptability],Technical & Data Skills [Programming (Python/Java)],Technical & Data Skills [DSA],Technical & Data Skills [Web Development],Technical & Data Skills [SQL / Databases],Technical & Data Skills [Machine Learning],Technical & Data Skills [Data Analysis],Technical & Data Skills [Cloud / DevOps],Technical & Data Skills [Cybersecurity],Creative & Marketing Skills [Digital Marketing],Creative & Marketing Skills [SEO],Creative & Marketing Skills [Content Writing],Creative & Marketing Skills [Social Media],Creative & Marketing Skills [UI/UX Design],Creative & Marketing Skills [Graphic Design],Creative & Marketing Skills [Video Editing],Creative & Marketing Skills [Creativity],  Projects Completed  ,Internship Experience ,  Certifications / Courses  ,  Interested Domain  ,Placement Readiness ,  Rate your readiness  
4/6/2026 20:41:45,2nd,AIML,9+,3,1,3,4,4,4,4,3,3,1,1,1,3,3,2,3,3,3,4,3,4,1-2,NO,YES,Data & AI,Not Ready,2
4/6/2026 20:49:33,2nd,AIML,8-9,4,3,3,4,4,5,4,3,3,1,3,1,2,1,1,1,2,3,2,3,5,1-2,NO,YES,Data & AI,Not Ready,3
4/6/2026 20:53:14,2nd,Aiml ,8-9,3,3,3,3,3,4,3,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1-2,NO,YES,Data & AI,Ready,3
4/6/2026 20:56:27,2nd,AIML,9+,3,4,4,5,4,5,5,4,4,2,4,0,2,0,0,2,5,4,3,2,5,1-2,NO,YES,IT / Software,Not Ready,2
4/7/2026 9:10:22,2nd,Ise,9+,5,4,3,4,3,4,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,NO,YES,IT / Software,Ready,4
4/7/2026 9:11:04,2nd,ECE,8-9,2,4,5,3,4,4,1,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1-2,NO,YES,IT / Software,Not Ready,3
4/7/2026 9:12:10,2nd,ECE,7-8,5,4,5,2,4,4,1,3,0,5,5,4,4,5,5,4,4,0,0,0,0,5+,YES,YES,IT / Software,Ready,4
4/7/2026 9:14:16,2nd,Aiml,7-8,4,3,3,5,4,2,2,1,2,1,0,3,0,2,1,1,2,0,0,0,0,0,NO,YES,Data & AI,Not Ready,2
4/7/2026 9:14:18,3rd,ECE,8-9,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5+,YES,YES,Design,Ready,5
4/7/2026 9:14:29,3rd,ISE,8-9,1,1,1,1,1,3,3,4,4,3,3,2,2,1,1,1,2,2,2,2,3,3-5,NO,YES,IT / Software,Not Ready,3
